company,job-title,level
Mediaset,Data Analyst,Associate
SIAE,Analista dati,Associate
ConTe.it - Admiral Group,Data Analyst,Entry level
Prima,Data Analyst,Entry level
Satispay,Data Analyst,Not Applicable
Randstad Technologies Italia,Junior Data Analyst,Entry level
BNL BNP Paribas,Senior Data Analyst,Associate
,,
Lavazza Group,Digital Data Analyst,Entry level
Max Mara Fashion Group,Customer Data Analyst,Entry level
LePub,Junior Data Analyst,Entry level
,,
We-Unit Group S.p.A.,Junior Data Analyst,Entry level
,,
,,
Benetton Group,BI Analyst,Associate
Università Bocconi,Data Analyst,Mid-Senior level
,,
Rai Pubblicità,Data Analyst - Contratto in somministrazione,Entry level
,,
Talent Disruptors,Data Analyst,Entry level
KPMG Italy,Junior Data & Analytics,Entry level
,,
,,
Holding Moda,Data Analyst,Associate
,,
ADHR GROUP,JUNIOR DATA ANALYST,Entry level
Intesa Sanpaolo,Data Analyst,Associate
Facile.it,Data Analyst,Entry level
,,
Intesa Sanpaolo,Data Analyst,Entry level
Gi Group,DATA ANALYST,Associate
Accenture Italia,"Data & Analytics Analyst - BARI, ROMA",Entry level
ADHR GROUP,Data Analyst,Entry level
Calzedonia Group,CUSTOMER DATA ANALYST,Not Applicable
Be | Shaping the Future,Data Analyst,Associate
,,
Sync Lab S.r.l.,Analista dati,Associate
,,
Intesa Sanpaolo,Data Analyst,Entry level
Renault Group,Data & Business Intelligence Support,Internship
,,
,,
Subito,Data Analyst,Mid-Senior level
artea.com srl,Data Analyst,Associate
,,
IsuiT,Data Analyst,"Employment type
        

          Full-time"
BitBang,Data Analyst,Mid-Senior level
,,
G.D S.p.A.,Data Analyst,Entry level
Zenith Global S.p.A.,Data Analyst,Associate
Generali Italia,Data Analyst,Entry level
,,
MBN Solutions,Game Data Analyst,Mid-Senior level
Sky Italia,Visualisation Data Engineer,Mid-Senior level
BRT Corriere Espresso,Data Analytics Specialist,Associate
Omicron srl,DATA ANALYST (remoto),Entry level
KPMG Italy,Junior Data & Analytics Consultant | Roma&Napoli,Mid-Senior level
Amazon,"ICQA Data Analyst, ICQA",Not Applicable
,,
Mediaset,Data Analyst,Associate
SIAE,Analista dati,Associate
,,
,,
,,
,,
BNL BNP Paribas,Senior Data Analyst,Associate
KeyPartners,Junior Data Analyst,Entry level
,,
Max Mara Fashion Group,Customer Data Analyst,Entry level
LePub,Junior Data Analyst,Entry level
,,
We-Unit Group S.p.A.,Junior Data Analyst,Entry level
Bracco,Data Analyst,Mid-Senior level
,,
Benetton Group,BI Analyst,Associate
Università Bocconi,Data Analyst,Mid-Senior level
,,
Rai Pubblicità,Data Analyst - Contratto in somministrazione,Entry level
Onit,Junior Data Analyst,Not Applicable
Talent Disruptors,Data Analyst,Entry level
KPMG Italy,Junior Data & Analytics,Entry level
,,
EducacionIT,Digital Analytics Analyst JRSSR - Palermo CABA,Entry level
,,
,,
ADHR GROUP,JUNIOR DATA ANALYST,Entry level
Intesa Sanpaolo,Data Analyst,Associate
Facile.it,Data Analyst,Entry level
